Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2014-15,19,MIN,NBA,SF,82,2969,13.9,.517,.111,.410,5.0,9.5,7.2,9.8,1.5,1.3,11.7,22.6,,2.1,0.0,2.1,.034,,-0.4,-2.0,-2.4,-0.3
2015-16,20,MIN,NBA,SF,81,2845,16.5,.543,.147,.437,4.3,7.5,5.9,10.1,1.4,1.3,10.6,27.2,,3.4,0.7,4.1,.069,,0.9,-2.2,-1.3,0.5
2016-17,21,MIN,NBA,SF,82,3048,16.5,.534,.184,.345,3.8,8.8,6.3,10.6,1.4,0.8,9.4,29.0,,3.3,0.9,4.2,.066,,0.7,-2.4,-1.7,0.2
2017-18,22,MIN,NBA,SF,82,2979,13.0,.505,.260,.242,3.1,10.8,6.9,8.2,1.5,1.5,8.8,23.4,,0.5,1.6,2.1,.034,,-0.8,-1.7,-2.4,-0.3
2018-19,23,MIN,NBA,SF,73,2543,12.4,.493,.288,.245,3.5,11.4,7.4,10.9,1.3,1.6,9.3,24.4,,-0.6,1.3,0.6,.012,,-1.2,-1.8,-3.0,-0.6
2019-20,24,TOT,NBA,SF,54,1858,16.4,.536,.342,.274,3.6,12.3,7.8,18.1,1.1,2.4,10.7,27.4,,0.8,1.1,1.9,.050,,1.1,-1.4,-0.3,0.8
2019-20,24,MIN,NBA,SF,42,1455,16.1,.535,.348,.262,3.4,12.9,7.9,18.1,0.9,2.1,10.8,28.0,,0.6,0.8,1.4,.046,,1.1,-1.5,-0.4,0.6
2019-20,24,GSW,NBA,SF,12,403,17.5,.542,.314,.324,4.7,10.3,7.4,18.2,1.9,3.8,10.4,25.4,,0.2,0.3,0.5,.064,,1.0,-1.1,-0.1,0.2
2020-21,25,GSW,NBA,PF,71,2364,15.0,.568,.348,.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,,1.2,2.7,3.9,.080,,0.0,-0.4,-0.4,1.0
2021-22,26,GSW,NBA,SF,73,2330,15.0,.560,.392,.231,4.1,10.9,7.6,10.8,1.6,2.1,9.0,23.1,,1.8,3.4,5.1,.105,,0.3,0.1,0.4,1.4
2022-23,27,GSW,NBA,SF,37,1190,14.7,.564,.425,.136,5.7,11.3,8.6,10.5,1.8,2.1,7.9,21.5,,1.0,1.3,2.3,.091,,-0.1,-0.4,-0.5,0.5
