Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,19,PHI,NBA,PG,73,1767,12.3,.526,.306,.165,3.7,9.1,6.4,24.4,2.3,0.8,21.9,18.4,,0.2,1.0,1.2,.032,,-1.1,-0.6,-1.7,0.1
2010-11,20,PHI,NBA,PG,82,2901,15.4,.525,.222,.209,2.7,10.5,6.6,29.0,2.2,0.8,16.7,20.8,,2.2,3.5,5.7,.094,,0.4,0.4,0.8,2.0
2011-12,21,PHI,NBA,PG,65,2196,14.7,.496,.205,.144,2.9,7.9,5.4,21.6,2.5,0.6,13.2,21.8,,0.9,3.3,4.2,.092,,-0.5,0.9,0.4,1.3
2012-13,22,PHI,NBA,PG,78,2926,16.7,.496,.192,.188,3.3,9.5,6.4,36.5,2.2,0.9,17.3,26.6,,0.6,2.7,3.3,.055,,1.2,-0.7,0.5,1.9
2013-14,23,NOP,NBA,PG,34,1143,17.1,.505,.170,.139,2.8,11.8,7.2,38.9,2.6,0.9,17.9,23.3,,0.8,0.7,1.5,.064,,1.2,-0.9,0.4,0.7
2014-15,24,NOP,NBA,PG,40,1303,18.8,.522,.253,.142,2.8,9.0,5.9,34.9,2.5,1.3,13.8,23.1,,2.3,1.1,3.4,.124,,2.5,0.3,2.8,1.6
2015-16,25,NOP,NBA,PG,65,1831,19.7,.529,.277,.231,1.6,10.5,5.9,37.3,2.4,1.0,14.0,28.9,,2.2,1.2,3.4,.089,,2.7,-0.6,2.1,1.9
2016-17,26,NOP,NBA,PG,67,2190,17.1,.532,.315,.188,2.2,10.6,6.4,35.9,2.2,1.6,16.7,23.5,,1.3,2.6,3.8,.084,,1.0,0.2,1.3,1.8
2017-18,27,NOP,NBA,SG,81,2927,17.8,.570,.286,.191,2.4,10.8,6.8,24.9,2.0,1.7,13.6,23.1,,4.2,2.9,7.1,.116,,1.3,0.3,1.6,2.7
2018-19,28,NOP,NBA,SG,67,2402,19.4,.555,.313,.234,3.3,11.0,7.2,31.8,2.1,1.8,14.1,25.4,,3.5,1.9,5.4,.108,,3.1,-0.1,3.0,3.1
2019-20,29,NOP,NBA,SG,61,2117,17.0,.537,.344,.181,3.8,10.9,7.3,29.1,2.2,1.9,14.5,24.5,,2.0,1.9,3.9,.088,,1.6,0.2,1.8,2.0
2020-21,30,MIL,NBA,PG,59,1907,20.0,.592,.344,.165,4.2,10.4,7.4,26.3,2.4,1.7,12.6,22.2,,4.3,2.2,6.6,.165,,2.8,0.6,3.4,2.6
2021-22,31,MIL,NBA,PG,67,2208,19.8,.593,.336,.189,3.4,10.9,7.2,31.8,2.4,1.3,15.0,23.5,,4.5,2.4,6.9,.150,,2.9,0.3,3.2,2.9
2022-23,32,MIL,NBA,PG,67,2183,19.2,.586,.402,.173,3.9,12.0,8.1,34.4,1.7,0.9,15.2,25.0,,3.9,2.8,6.7,.148,,3.0,0.1,3.1,2.8
