Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2011-12,20,SAS,NBA,SF,64,1534,16.6,.573,.270,.218,7.9,16.4,12.2,6.6,2.9,1.1,9.0,14.5,,3.1,2.4,5.5,.171,,1.6,1.8,3.4,2.1
2012-13,21,SAS,NBA,SF,58,1810,16.4,.592,.331,.240,4.3,17.1,11.1,7.7,2.7,1.3,9.6,16.4,,3.0,3.3,6.2,.166,,1.1,2.0,3.1,2.3
2013-14,22,SAS,NBA,SF,66,1923,19.4,.602,.282,.195,4.6,18.9,12.1,10.4,3.0,1.9,10.3,18.3,,3.8,3.9,7.7,.193,,2.1,3.0,5.1,3.5
2014-15,23,SAS,NBA,SF,64,2033,22.0,.567,.234,.307,4.8,20.6,12.9,13.0,3.7,1.8,9.4,23.0,,4.2,4.4,8.6,.204,,2.8,3.1,5.9,4.1
2015-16,24,SAS,NBA,SF,72,2380,26.0,.616,.267,.306,4.7,18.4,11.8,13.0,2.8,2.3,7.8,25.8,,8.3,5.5,13.7,.277,,6.1,3.0,9.1,6.7
2016-17,25,SAS,NBA,SF,74,2474,27.6,.610,.295,.406,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,,8.9,4.7,13.6,.264,,7.1,2.2,9.4,7.1
2017-18,26,SAS,NBA,SF,9,210,26.0,.572,.315,.342,3.1,19.1,11.1,17.7,4.3,3.6,11.1,30.6,,0.3,0.5,0.9,.196,,5.2,4.9,10.1,0.6
2018-19,27,TOR,NBA,SF,60,2040,25.8,.606,.267,.377,4.2,18.6,11.6,16.4,2.5,1.0,8.4,30.3,,6.1,3.4,9.5,.224,,6.1,1.1,7.2,4.7
2019-20,28,LAC,NBA,SF,57,1848,26.9,.589,.287,.355,3.1,19.1,11.3,26.4,2.6,1.6,10.2,33.0,,5.4,3.3,8.7,.226,,6.5,2.4,8.9,5.1
2020-21,29,LAC,NBA,SF,52,1773,26.0,.622,.280,.325,3.6,17.4,10.7,24.9,2.3,1.1,9.2,28.6,,6.4,2.4,8.8,.238,,6.0,1.3,7.3,4.2
2022-23,31,LAC,NBA,SF,52,1748,23.9,.623,.287,.320,3.7,17.8,10.8,19.6,2.0,1.4,8.1,27.0,,4.9,2.2,7.1,.194,,5.1,0.9,6.1,3.5
