Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,19,SEA,NBA,SG,80,2768,15.8,.519,.150,.328,2.8,10.9,6.9,12.0,1.4,1.9,12.9,28.1,,0.4,1.9,2.3,.040,,0.5,-0.7,-0.1,1.3
2008-09,20,OKC,NBA,SF,74,2885,20.8,.577,.165,.377,3.0,16.4,9.6,13.5,1.7,1.4,12.2,28.3,,5.2,2.7,7.9,.132,,3.4,-0.1,3.3,3.8
2009-10,21,OKC,NBA,SF,82,3239,26.2,.607,.210,.504,3.8,17.9,11.0,13.5,1.8,1.9,11.7,32.0,,11.1,5.0,16.1,.238,,6.3,0.8,7.1,7.5
2010-11,22,OKC,NBA,SF,78,3038,23.6,.589,.269,.439,2.3,17.7,10.3,13.2,1.5,1.8,10.6,30.6,,8.6,3.3,12.0,.189,,5.2,-0.3,4.9,5.3
2011-12,23,OKC,NBA,SF,66,2546,26.2,.610,.265,.386,1.9,20.4,11.8,17.5,1.8,2.2,14.0,31.3,,8.5,3.7,12.2,.230,,6.2,0.8,7.0,5.8
2012-13,24,OKC,NBA,SF,81,3119,28.3,.647,.233,.523,1.8,20.3,11.8,21.7,1.9,2.6,13.7,29.8,,13.6,5.3,18.9,.291,,7.6,1.7,9.3,8.9
2013-14,25,OKC,NBA,SF,81,3122,29.8,.635,.291,.477,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33.0,,14.8,4.4,19.2,.295,,8.8,1.4,10.2,9.6
2014-15,26,OKC,NBA,SF,27,913,27.6,.633,.340,.366,1.9,18.7,10.4,22.2,1.3,2.2,12.0,29.1,,3.8,1.0,4.8,.252,,8.6,1.4,10.0,2.8
2015-16,27,OKC,NBA,SF,72,2578,28.2,.634,.348,.361,2.0,21.8,12.4,24.2,1.3,2.5,13.5,30.6,,11.0,3.5,14.5,.270,,8.4,1.6,9.9,7.8
2016-17,28,GSW,NBA,PF,62,2070,27.6,.651,.304,.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,,8.0,4.0,12.0,.278,,6.7,2.2,8.9,5.7
2017-18,29,GSW,NBA,SF,68,2325,26.0,.640,.338,.331,1.6,19.5,11.2,25.5,1.0,4.0,12.9,30.4,,7.5,2.9,10.4,.215,,6.7,0.6,7.3,5.5
2018-19,30,GSW,NBA,SF,78,2702,24.2,.631,.281,.366,1.4,17.5,9.8,26.2,1.0,2.6,12.3,29.0,,8.6,2.9,11.5,.204,,5.4,0.1,5.5,5.1
2020-21,32,BRK,NBA,PF,35,1157,26.4,.666,.313,.395,1.3,21.3,11.8,27.5,1.0,3.4,14.5,31.2,,3.7,1.2,5.0,.206,,6.4,0.8,7.2,2.7
2021-22,33,BRK,NBA,PF,55,2047,25.6,.634,.269,.367,1.6,19.6,10.8,29.1,1.1,2.3,12.9,31.2,,6.4,2.0,8.4,.198,,6.4,0.7,7.2,4.8
2022-23,34,TOT,NBA,PF,47,1672,25.9,.677,.267,.387,1.2,19.5,10.5,24.5,1.0,3.4,13.4,30.7,,4.7,2.1,6.8,.194,,6.0,1.2,7.1,3.9
2022-23,34,BRK,NBA,PF,39,1403,26.2,.673,.257,.390,1.1,19.4,10.5,25.9,1.1,3.5,13.7,31.5,,3.9,1.7,5.7,.194,,5.8,1.2,7.0,3.2
2022-23,34,PHO,NBA,PF,8,269,24.3,.697,.320,.375,1.2,20.2,10.5,17.3,0.4,3.3,11.8,26.8,,0.8,0.3,1.1,.196,,7.1,0.9,8.0,0.7
