Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,21,GSW,NBA,PG,80,2896,16.3,.568,.332,.175,1.8,12.0,6.8,24.6,2.5,0.5,16.5,21.8,,3.0,1.6,4.7,.077,,1.1,-0.5,0.7,2.0
2010-11,22,GSW,NBA,PG,74,2489,19.4,.595,.325,.216,2.3,10.9,6.5,28.1,2.2,0.6,16.4,24.4,,5.4,1.3,6.6,.128,,3.0,-0.7,2.3,2.7
2011-12,23,GSW,NBA,PG,26,732,21.2,.605,.409,.159,2.3,11.3,6.8,32.3,2.8,0.8,17.0,24.0,,1.8,0.4,2.2,.144,,4.1,0.3,4.3,1.2
2012-13,24,GSW,NBA,PG,78,2983,21.3,.589,.432,.210,2.3,9.1,5.8,31.1,2.1,0.3,13.7,26.4,,8.4,2.8,11.2,.180,,5.3,0.1,5.4,5.6
2013-14,25,GSW,NBA,PG,78,2846,24.1,.610,.445,.252,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,,9.3,4.0,13.4,.225,,6.3,1.1,7.4,6.7
2014-15,26,GSW,NBA,PG,80,2613,28.0,.638,.482,.251,2.4,11.4,7.0,38.6,3.0,0.5,14.3,28.9,,11.5,4.1,15.7,.288,,8.2,1.7,9.9,7.9
2015-16,27,GSW,NBA,PG,79,2700,31.5,.669,.554,.250,2.9,13.6,8.6,33.7,3.0,0.4,12.9,32.6,,13.8,4.1,17.9,.318,,10.3,1.6,11.9,9.5
2016-17,28,GSW,NBA,PG,79,2638,24.6,.624,.547,.251,2.7,11.4,7.3,31.2,2.6,0.5,13.0,30.1,,8.7,3.9,12.6,.229,,6.7,0.3,6.9,5.9
2017-18,29,GSW,NBA,PG,51,1631,28.2,.675,.580,.350,2.7,14.4,9.0,30.3,2.4,0.4,13.3,31.0,,7.2,1.9,9.1,.267,,7.8,0.0,7.7,4.0
2018-19,30,GSW,NBA,PG,69,2331,24.4,.641,.604,.214,2.2,14.2,8.4,24.2,1.9,0.9,11.6,30.4,,7.2,2.5,9.7,.199,,7.1,-0.5,6.6,5.1
2019-20,31,GSW,NBA,PG,5,139,21.7,.557,.598,.317,3.0,17.8,10.1,42.3,1.7,1.3,14.6,33.6,,0.2,0.1,0.3,.103,,4.5,-0.6,3.9,0.2
2020-21,32,GSW,NBA,PG,63,2152,26.3,.655,.587,.289,1.5,15.4,8.5,30.5,1.7,0.3,12.2,34.8,,6.5,2.5,9.0,.201,,8.3,0.4,8.7,5.8
2021-22,33,GSW,NBA,PG,64,2211,21.4,.601,.613,.243,1.7,14.4,8.3,30.4,1.9,1.0,13.2,30.8,,4.6,3.4,8.0,.173,,5.4,0.4,5.8,4.4
2022-23,34,GSW,NBA,PG,56,1941,24.1,.656,.564,.248,2.3,16.8,9.7,30.0,1.3,0.9,12.5,31.0,,5.8,2.0,7.8,.192,,7.5,0.1,7.5,4.7
